"bucket","qty","cluster","month","predicted"
135,49,4,1,71
150,53,4,1,19
165,29,4,1,5
180,115,4,1,1
195,19,4,1,0
210,12,4,1,0
225,18,4,1,0
240,273,4,1,0
0,91,4,2,3965
15,22358,4,2,10723
30,14639,4,2,14499
45,6497,4,2,13071
60,7881,4,2,8838
75,1851,4,2,4780
90,1909,4,2,2155
105,805,4,2,832
120,2652,4,2,281
135,53,4,2,85
150,61,4,2,23
165,35,4,2,6
180,110,4,2,1
195,5,4,2,0
210,21,4,2,0
225,13,4,2,0
240,278,4,2,0
0,83,4,3,3471
15,19866,4,3,9639
30,13599,4,3,13381
45,6500,4,3,12385
60,7820,4,3,8597
75,1914,4,3,4774
90,1995,4,3,2209
105,911,4,3,876
120,2546,4,3,304
135,53,4,3,94
150,48,4,3,26
165,38,4,3,7
180,145,4,3,2
195,16,4,3,0
210,17,4,3,0
225,10,4,3,0
240,204,4,3,0
0,82,4,4,3978
15,22514,4,4,10841
30,14897,4,4,14771
45,6728,4,4,13417
60,8217,4,4,9140
75,1990,4,4,4982
90,2060,4,4,2263
105,929,4,4,881
120,2766,4,4,300
135,42,4,4,91
150,65,4,4,25
165,21,4,4,6
180,122,4,4,1
195,9,4,4,0
210,17,4,4,0
225,7,4,4,0
240,229,4,4,0
0,87,4,5,4078
15,22779,4,5,11071
30,15293,4,5,15028
45,6891,4,5,13600
60,8332,4,5,9230
75,1964,4,5,5012
90,2118,4,5,2268
105,888,4,5,879
120,2652,4,5,298
135,46,4,5,90
150,64,4,5,24
165,29,4,5,6
180,144,4,5,1
195,11,4,5,0
210,14,4,5,0
225,16,4,5,0
240,258,4,5,0
0,67,4,6,3413
15,19351,4,6,9358
30,13131,4,6,12829
45,6011,4,6,11725
60,7244,4,6,8037
75,1723,4,6,4407
90,1711,4,6,2014
105,757,4,6,789
120,2412,4,6,270
135,48,4,6,82
150,45,4,6,23
165,38,4,6,6
180,140,4,6,1
195,20,4,6,0
210,19,4,6,0
225,10,4,6,0
240,227,4,6,0
0,101,4,7,3636
15,20899,4,7,10062
30,14262,4,7,13923
45,6485,4,7,12843
60,7955,4,7,8885
75,1962,4,7,4918
90,1955,4,7,2268
105,934,4,7,897
120,2754,4,7,310
135,55,4,7,95
150,66,4,7,26
165,37,4,7,7
180,141,4,7,2
195,21,4,7,0
210,12,4,7,0
225,17,4,7,0
240,216,4,7,0
0,89,4,8,3967
15,22646,4,8,10891
30,15175,4,8,14952
45,6836,4,8,13685
60,8559,4,8,9394
75,1942,4,8,5159
90,2022,4,8,2361
105,916,4,8,926
120,3076,4,8,318
135,48,4,8,97
150,53,4,8,27
165,31,4,8,7
180,129,4,8,2
195,16,4,8,0
210,15,4,8,0
225,9,4,8,0
240,223,4,8,0
0,76,4,9,3657
15,21184,4,9,10064
30,14087,4,9,13850
45,6323,4,9,12706
60,7688,4,9,8742
75,1794,4,9,4812
90,1899,4,9,2207
105,789,4,9,868
120,2946,4,9,299
135,53,4,9,91
150,62,4,9,25
165,23,4,9,6
180,133,4,9,1
195,14,4,9,0
210,15,4,9,0
225,9,4,9,0
240,234,4,9,0
0,97,4,10,4393
15,24429,4,10,11903
30,16283,4,10,16125
45,7327,4,10,14563
60,8862,4,10,9864
75,2066,4,10,5345
90,2157,4,10,2414
105,974,4,10,934
120,3202,4,10,316
135,74,4,10,95
150,89,4,10,26
165,38,4,10,6
180,144,4,10,1
195,18,4,10,0
210,24,4,10,0
225,15,4,10,0
240,188,4,10,0
0,117,4,11,3411
15,21036,4,11,9830
30,14527,4,11,14162
45,6776,4,11,13603
60,8771,4,11,9799
75,2264,4,11,5647
90,2173,4,11,2712
105,1067,4,11,1116
120,3451,4,11,402
135,60,4,11,129
150,83,4,11,37
165,51,4,11,10
180,179,4,11,2
195,30,4,11,1
