"cluster","month","day","ave_occupancy","predicted"
2,11,25,0.178404667422525,0.142997344989676
2,11,26,0.307577003023432,0.204075895383216
2,11,27,0.315473828420257,0.254904248914707
2,11,28,0,0.228615365840379
2,11,29,0.369603647014361,0.276689133452362
2,11,30,0.487490079365079,0.369221602637003
2,12,2,0.156395502645503,0.142997344989676
2,12,3,0.169662226001512,0.204075895383216
2,12,4,0.220524376417234,0.254904248914707
2,12,5,0.166658635676493,0.228615365840379
2,12,6,0.245857426303855,0.276689133452362
2,12,7,0.327031368102797,0.369221602637003
2,12,9,0.12203089569161,0.142997344989676
2,12,10,0.185282974300831,0.204075895383216
2,12,11,0.201322751322751,0.254904248914707
2,12,12,0.203118386243386,0.228615365840379
2,12,13,0.30432350718065,0.276689133452362
2,12,14,0.46974395313681,0.369221602637003
2,12,16,0.129522864701436,0.142997344989676
2,12,17,0.339703798185941,0.204075895383216
2,12,18,0.335496976568405,0.254904248914707
2,12,19,0.235212585034014,0.228615365840379
2,12,20,0.276070483749055,0.276689133452362
2,12,21,0.388269557823129,0.369221602637003
2,12,23,0.250398715041572,0.142997344989676
2,12,24,0.179666477702192,0.204075895383216
2,12,25,0,0.254904248914707
2,12,26,0.254903628117914,0.228615365840379
2,12,27,0.312602040816326,0.276689133452362
2,12,28,0.316571239606954,0.369221602637003
2,12,30,0.281019935752079,0.142997344989676
2,12,31,0.216190948601663,0.204075895383216
3,1,1,0.00307328605200946,0.221043356854627
3,1,2,0.170936626907372,0.260993581824387
3,1,3,0.272212493475791,0.252156800301968
3,1,4,0.247537629332842,0.241359838816626
3,1,5,0.24139036643026,0.232199346407755
3,1,6,0.0459464707868963,0.067594198060117
3,1,8,0.216466124006018,0.221043356854627
3,1,9,0.238916712719904,0.260993581824387
3,1,10,0.278048014337908,0.252156800301968
3,1,11,0.216602403211446,0.241359838816626
3,1,12,0.230030107304043,0.232199346407755
3,1,13,0.0954219244112861,0.067594198060117
3,1,15,0,0.221043356854627
3,1,16,0.304307973350527,0.260993581824387
3,1,17,0.296153940622026,0.252156800301968
3,1,18,0.27684782858985,0.241359838816626
3,1,19,0.285101470633386,0.232199346407755
3,1,20,0.0571496116176967,0.067594198060117
3,1,22,0.278607350096712,0.221043356854627
3,1,23,0.290393313837463,0.260993581824387
3,1,24,0.294746457738479,0.252156800301968
3,1,25,0.28345838706211,0.241359838816626
3,1,26,0.25810082205029,0.232199346407755
3,1,27,0.0511908983451537,0.067594198060117
3,1,29,0.255978132387707,0.221043356854627
3,1,30,0.333599060513954,0.260993581824387
3,1,31,0.252296617389702,0.252156800301968
3,2,1,0.271309044088299,0.241359838816626
3,2,2,0.26664899373676,0.232199346407755
3,2,3,0.0928999915569065,0.067594198060117
3,2,5,0.267246227472291,0.221043356854627
3,2,6,0.257111425808234,0.260993581824387
3,2,7,0.288648567744312,0.252156800301968
3,2,8,0.249448320591938,0.241359838816626
3,2,9,0.269642127966596,0.232199346407755
3,2,10,0.103775022259065,0.067594198060117
3,2,12,0.256053582941881,0.221043356854627
3,2,13,0.310505357526634,0.260993581824387
3,2,14,0.375859622056431,0.252156800301968
3,2,15,0.279427366368856,0.241359838816626
3,2,16,0.287501842129502,0.232199346407755
3,2,17,0.0557788753799392,0.067594198060117
3,2,19,0.117292472598324,0.221043356854627
3,2,20,0.32718816201529,0.260993581824387
3,2,21,0.285889211261552,0.252156800301968
3,2,22,0.277322368825028,0.241359838816626
3,2,23,0.286457182002395,0.232199346407755
3,2,24,0.0645143110435664,0.067594198060117
3,2,26,0.29708884053299,0.221043356854627
3,2,27,0.283174430474962,0.260993581824387
3,2,28,0.256089792299899,0.252156800301968
3,2,29,0.304174591661294,0.241359838816626
3,3,1,0.26954816017316,0.232199346407755
3,3,2,0.0509581184182248,0.067594198060117
3,3,4,0.296840210616806,0.221043356854627
3,3,5,0.303246004881643,0.260993581824387
3,3,6,0.30237949402843,0.252156800301968
3,3,7,0.286826433023242,0.241359838816626
3,3,8,0.247224467317552,0.232199346407755
3,3,9,0.0944923014337908,0.067594198060117
3,3,11,0.282840870713211,0.221043356854627
3,3,12,0.277401580393602,0.260993581824387
3,3,13,0.261838426053852,0.252156800301968
3,3,14,0.24989298378926,0.241359838816626
3,3,15,0.240446275060637,0.232199346407755
3,3,16,0.0820799560959135,0.067594198060117
3,3,18,0.282679089527494,0.221043356854627
3,3,19,0.304997716526972,0.260993581824387
3,3,20,0.272836534033343,0.252156800301968
3,3,21,0.294793086641491,0.241359838816626
3,3,22,0.264116545393141,0.232199346407755
3,3,23,0.0721194467471063,0.067594198060117
3,3,25,0,0.221043356854627
3,3,26,0,0.260993581824387
3,3,27,0,0.252156800301968
3,3,28,0.00959937521107734,0.241359838816626
3,3,29,0.12266978293574,0.232199346407755
3,3,30,0.0229552938196555,0.067594198060117
3,4,1,0.14508114964232,0.221043356854627
